;Pavadinimas;žodžių_kiekis
0;Landynė daugiabutyje: ar gali būti blogiau?;6
1;Smarkios avarijos Ramučiuose liudininkai: kalti neveikiantys šviesoforai! (papildyta);8
2;Už šūkį „šlovė Ukrainai“ – išpuoliai prieš lietuvius užsienio kurortuose ;10
3;Kauno centre – girto vairuotojo šou: nukentėjo keleivis;8
4;„Vičiūnų grupė“ pardavė gamyklą Kaliningrade  ;5
5;Orai: kai kur Lietuvoje iš dangaus krito snaigės;8
6;Mugė Laisvės alėjoje – dar gausesnė;6
7;Lietingą rytą Kaune lydėjo avarijos;5
8;Žada, kad iki 2050-ųjų žuvusiųjų avarijose nebebus: kliedesiai ar realybė?;10
9;„Vičiūnų grupė“ pardavė gamyklą Kaliningrade  ;5
10;Landynė daugiabutyje: ar gali būti blogiau?;6
11;Mugė Laisvės alėjoje – dar gausesnė;6
12;JAV žiniasklaida: Izraelis smogė Iranui;5
13;Sužydėjusios Kauno puošmenos džiugins iki pat rudens ;7
14;Ilgapirščių taikinys – 25 tūkst. eurų vertės kauniečių „Mercedes-Benz“;9
15;Nacionalinis kultūros forumas mėgins sujungti, kas sunkiai sujungiama, – kultūrą ir verslumą;12
16;Elektromobilių vairuotojus Kaune pasitinka pokyčiai: atsiskaitymas už įkrovimą – mobiliąja programėle;11
17;45-asis „Lietuvos teatrų pavasaris“ kviečia Kauno publiką į teatrališką savaitę;10
18;Išskirtinėje vietoje – prestižiniai „Kauno panoramos“ apartamentai;7
19;Kaune tiriant galimai apgaule įgytas ES lėšas – įtarimai devyniems asmenims, du suimti ;13
20;R. Jatkevičiūtės-Kasparavičienės sielos peizažai;4
21;Liūčių tvindomame Dubajuje esantis lietuvis: nustėrau pamatęs apsemtą aštuntą viešbučio aukštą;11
22;Kauną užplūs skandinaviškos kultūros banga;5
23;Maironio lietuvių literatūros muziejui toliau vadovaus D. Cibulskienė;8
24;Nufilmuota: ką daryti su nevalyvais ir neblaiviais keleiviais? ;8
25;Po nuogąstavimo dėl per siauros sankryžos – atsakas: viskas apskaičiuota;10
26;Viešojo transporto grimasos: keleiviai sugrūsti kaip silkės;7
27;Iš Šiaulių „Akropolio“ buvo evakuoti žmonės;6
28;Ukmergės gatvėje neliks 35 medžių: kas čia planuojama?;8
29;Vėl pirštu beda į Trijų mergelių tilto defektus: jei taip toliau, viskas bus sulopyta;14
30;Nufilmuota: ką daryti su nevalyvais ir neblaiviais keleiviais? ;8
31;Po nuogąstavimo dėl per siauros sankryžos – atsakas: viskas apskaičiuota;10
32;Viešojo transporto grimasos: keleiviai sugrūsti kaip silkės;7
33;Iš Šiaulių „Akropolio“ buvo evakuoti žmonės;6
34;Žiurkėnas mumyseReikia saugoti savo kailiuką, nes gyvename...;7
35;Ar prezidento vadovaujama Valstybės gynimo taryba nieko nebereiškia? Lietuvą pasiekė puiki žinia – Vokietijos...;14
36;Po Sibirą – be vadovoĮpusėjus 1911-ųjų vasarai, Josifas...;8
37;Naujam gyvenimui kylančioje Kauno dalyje „YIT Lietuva“ baigė statyti pirmuosius „Matau Kauną“ namus;13
38;Išankstinis laidotuvių planavimas: šia tema kalbėti verta ;7
39;Medicinos centre „Northway“ Kaune – itin platus sveikatos priežiūros paslaugų spektras;11
40;„Lidl Lietuva“: ir toliau didinsime parduotuvių bei logistikos centro darbuotojų atlyginimus;11
41;Projekto „Krėvės80“ penkiaaukštis – komplekso pažiba;6
42;„YIT Lietuva“ būsto pardavimai – 39 proc. didesni ;8
43;Naujam gyvenimui kylančioje Kauno dalyje „YIT Lietuva“ baigė statyti pirmuosius „Matau Kauną“ namus;13
44;Išankstinis laidotuvių planavimas: šia tema kalbėti verta ;7
45;Medicinos centre „Northway“ Kaune – itin platus sveikatos priežiūros paslaugų spektras;11
46;„Lidl Lietuva“: ir toliau didinsime parduotuvių bei logistikos centro darbuotojų atlyginimus;11
47;Landynė daugiabutyje: ar gali būti blogiau?;6
48;Dėl galios STT per gyvenimus važiuoja buldozeriu?;7
49;Policijos pareigūnas: valgyt noriu, na**ui man, protokolai b**t;8
50;J. Plisienė: kas tu esi, kai tau niekuo nereikia būti?;10
51;Į kompensuojamųjų vaistų rezervinį sąrašą įtraukti vaistai nuo cistinės fibrozės;10
52;Specialistė apie lytiškumo suvokimo problemas: lietuviai nori, bet nežino, kaip tai  pasakyti;12
53;Klaiki situacija: apie savižudybes galvoja ir 9-mečiai;7
54;Pacientų pavėžėjimu rūpinsis nebe savivaldybės, o Greitosios medicinos pagalbos tarnyba;10
55;VLK priminė pacientų teises ir atsakomybę už savo sveikatą ;9
56;A. Dulkys tikisi, kad vaistai nuo cistinės fibrozės taps kompensuojami dar šiemet;12
57;PSDF finansuoja naujus tyrimus ir procedūras prostatos, krūties vėžio, žarnyno infekcijoms gydyti;12
58;G. Nausėda sureagavo į kritiką: ne A. Bilotaitės reikalas man nurodinėti, ką aš turiu šnekėti;15
59;KT vertins, ar kailinių žvėrelių verslo draudimas neprieštarauja Konstitucijai;9
60;Vilniaus savivaldybė pritarė naujojo darželio Perkūnkiemyje projektui;7
61;Prezidentūra sureagavo į L. Kasčiūno siūlymus: tai negali vėlinti divizijos įgyvendinimo datos;12
62;VSAT siūlo griežtinti taisykles pasienyje su Rusija;7
63;Žiniasklaida: V. Semeškai paliekant KAM, Gynybos resursų agentūroje dirbti pradėjo jo marti;12
64;Sukčiavimo schema, kai tampate nusikaltėlių bendrininku;6
65;Tvarumo tendencija: vis daugiau drabužių keliauja iš rankų į rankas;10
66;Desertai sveikiau – ką rinktis saldžiam kąsneliui prie kavos?;9
67;Pavasario mados tendencija: provokacija drąsai ir išskirtinumui;7
68;Pavasario mada – atraskite tris moteriškos pavasario mados tendencijas gaiviam garderobui;11
69;Mada – menas ar komercija?;5
