;Adresas;Kaina;Kaina_uz_m2;Plotas;Kambariu_skaicius
0;Palanga, A. Mickevičiaus g.;268000;7657;35.0;2.0
1;Palanga, A. Mickevičiaus g.;329900;7331;45.0;3.0
2;Vilnius, Žirmūnai, Tuskulėnų g.;171200;4248;40.3;2.0
3;Palanga, Palanga, Vanagupės g.;199000;4095;48.59;2.0
4;Vilnius, Žirmūnai, Kareivių g.;240529;3733;64.44;3.0
5;Vilnius, Burbiškės, Burbiškių g.;200860;3453;58.17;3.0
6;Vilnius, Antakalnis, Duburio g.;139900;2439;57.37;2.0
7;Kaunas, Vilijampolė, Raudondvario pl.;47500;2317;20.5;2.0
8;Vilnius, Senamiestis, Teatro g.;390000;6725;57.99;2.0
9;Vilnius, Antakalnis, Duburio g.;168500;2462;68.44;3.0
10;Palanga, S. Daukanto g.;435000;5959;73.0;4.0
11;Palanga, S. Daukanto g.;312000;6933;45.0;3.0
12;Klaipėda, Mažasis kaimelis, Senvagės g.;121900;2651;45.99;2.0
13;Kaunas, Žaliakalnis, Žeimenos g.;199000;2647;75.19;3.0
14;Vilnius, Šnipiškės, Kalvarijų g.;127750;3901;32.75;1.0
15;Vilnius, Šnipiškės, Konstitucijos pr.;324000;5438;59.58;2.0
16;Kaunas, Žaliakalnis, Žemaičių g.;100737;1564;64.42;2.0
17;Kaunas, Vaišvydava, Tursono g.;195000;952;204.84;4.0
18;Klaipėda, Senamiestis, Teatro g.;170000;4545;37.4;1.0
19;Palanga, Palanga, Saulėlydžio g.;179000;2183;82.0;3.0
20;Klaipėda, Mokykla, Mokyklos g.;108000;2616;41.29;2.0
21;Vilnius, Paupys, Aukštaičių g.;690000;6635;104.0;4.0
22;Palanga, Vėžių g.;173000;3604;48.0;2.0
23;Vilnius, Naujininkai, Kapsų g.;249000;4058;61.36;3.0
24;Palanga, Palanga, Vėžių g.;160000;3478;46.0;2.0
25;Kaunas, Žaliakalnis, Žalioji g.;73000;2808;26.0;2.0
26;Kaunas, Žaliakalnis, Mituvos g.;77000;2406;32.0;2.0
27;Vilnius, Naujamiestis, T. Ševčenkos g.;75900;3148;24.11;2.0
28;Kaunas, Kalniečiai, Kalniečių g.;145000;2599;55.8;2.0
29;Vilnius, Pašilaičiai, Dociškių g.;150000;2921;51.36;2.0
30;Klaipėda, Centras, Bijūnų g.;215000;4285;50.18;2.0
31;Klaipėda, Šauliai, Ragainės g.;88000;2350;37.44;2.0
32;Vilnius, Baltupiai, Kazio Ulvydo g.;315000;4011;78.53;3.0
33;Palanga, Šventoji, Mėguvos g.;38940;1770;22.0;1.0
34;Vilnius, Naujamiestis, Skroblų g.;182117;4137;44.02;2.0
35;Vilnius, Bajorai, Salaspilio g.;164692;2440;67.5;3.0
36;Klaipėda, Centras, Žiedų skg.;307000;2488;123.37;4.0
37;Palanga, Palanga, Saulėlydžio g.;135000;2213;61.0;2.0
38;Palanga, Palanga, Sermiesčio g.;252000;3652;69.0;3.0
39;Vilnius, Antakalnis, L. Sapiegos g.;339000;6164;55.0;2.0
40;Vilnius, Santariškės, M. Bukšos g.;319968;3325;96.22;4.0
41;Vilnius, Žirmūnai, Raitininkų g.;280000;5477;51.12;2.0
42;Vilnius, Pašilaičiai, Pavilnionių g.;160000;2218;72.14;3.0
43;Vilnius, Šnipiškės, Olimpiečių g.;995000;10160;97.93;3.0
44;Vilnius, Lazdynėliai, Lazdynėlių g.;146000;2764;52.82;3.0
45;Vilnius, Pilaitė, M. Mažvydo g.;118000;2687;43.91;2.0
46;Vilnius, Senamiestis, Gedimino pr.;830000;5804;143.0;3.0
47;Vilnius, Karoliniškės, Igno Šimulionio g.;295000;3782;78.01;3.0
48;Kaunas, Dainava, Taikos pr.;144999;2617;55.4;3.0
49;Kaunas, Žemieji Šančiai, A. Juozapavičiaus pr.;125000;3000;41.67;2.0
50;Vilnius, Markučiai, Kaukysos g.;219000;4844;45.21;2.0
51;Vilnius, Žirmūnai, Žirmūnų g.;100900;3135;32.19;1.0
52;Vilnius, Karoliniškės, Algimanto Petro Kavoliuko g.;133500;3018;44.24;2.0
53;Vilnius, Pilaitė, I. Simonaitytės g.;145000;3152;46.0;2.0
54;Vilnius, Karoliniškės, Algimanto Petro Kavoliuko g.;140000;3415;41.0;2.0
55;Klaipėda, Alksnynė, Taikos pr.;170000;2024;84.0;3.0
56;Vilnius, Justiniškės, Taikos g.;134900;2645;51.0;3.0
57;Vilnius, Vilkpėdė, Eigulių g.;229000;4906;46.68;2.0
58;Vilnius, Naujininkai, Kaminkelio g.;108000;3092;34.93;1.0
59;Vilnius, Pilaitė, Pilkalnio g.;91222;2887;31.6;1.0
60;Vilnius, Naujamiestis, Smolensko g.;86154;2731;31.55;2.0
61;Vilnius, Lazdynėliai, Žaibo g.;160000;3636;44.0;2.0
62;Vilnius, Naujamiestis, Vytenio g.;109600;4327;25.33;1.0
63;Palanga, Mėguvos g.;111000;2467;45.0;2.0
64;Vilnius, Lazdynėliai, Žaibo g.;166000;3773;44.0;2.0
65;Vilnius, Visoriai, Visorių g.;130251;2963;43.96;2.0
66;Vilnius, Senamiestis, Kaštonų g.;208000;2849;73.0;2.0
67;Vilnius, Naujamiestis, Algirdo g.;126321;3900;32.39;1.0
68;Vilnius, Naujamiestis, Marijampolės g.;168823;3850;43.85;2.0
69;Vilnius, Karoliniškės, Sietyno g.;116875;2750;42.5;2.0
70;Vilnius, Šnipiškės, Šatrijos g.;139400;4000;34.85;2.0
71;Vilnius, Naujamiestis, Mindaugo g.;214900;4082;52.64;3.0
72;Druskininkų m., Liepų g.;140610;2420;58.1;3.0
73;Vilnius, Lazdynėliai, Žaibo g.;163000;3881;42.0;2.0
74;Klaipėda, Žardininkai, Žardininkų g.;76000;1188;64.0;3.0
75;Kaunas, Freda, Europos pr.;83990;2745;30.6;2.0
76;Vilnius, Lazdynai, Architektų g.;119000;2532;47.0;2.0
77;Vilnius, Lazdynai, Architektų g.;169900;2535;67.01;4.0
78;Vilnius, Šeškinė, Gelvonų g.;85500;3139;27.24;1.0
79;Vilnius, Šeškinė, Čiobiškio g.;127500;2916;43.73;2.0
80;Vilnius, Pašilaičiai, Perkūnkiemio g.;123900;1906;65.0;2.0
81;Kaunas, Šilainiai, Naujakurių g.;104420;2299;45.41;2.0
82;Vilnius, Pilaitė, Padekaniškių g.;219000;3440;63.66;2.0
83;Palanga, Sergiškių g.;132000;2750;48.0;2.0
84;Vilnius, Pašilaičiai, Pavilnionių g.;133500;2880;46.36;2.0
85;Klaipėda, Labrenciškės, Kretingos g.;99850;2504;39.87;2.0
86;Klaipėda, Labrenciškės, Kretingos g.;168624;2150;78.43;3.0
87;Klaipėda, Labrenciškės, Kretingos g.;106075;2297;46.17;2.0
88;Vilnius, Šnipiškės, A. Juozapavičiaus g.;480000;4375;109.72;3.0
89;Vilnius, Lazdynėliai, Žaibo g.;166000;3773;44.0;2.0
90;Vilnius, Senamiestis, Vašingtono a.;370000;3700;100.0;4.0
91;Palanga, Palanga, Virbališkės tak.;187550;3907;48.0;2.0
92;Palanga, Sergiškių g.;79000;3160;25.0;1.0
93;Vilnius, Naujamiestis, Naugarduko g.;135000;2813;48.0;2.0
94;Vilnius, Karoliniškės, Algimanto Petro Kavoliuko g.;199000;3044;65.38;3.0
95;Vilnius, Paupys, Krivūlės g.;184000;5111;36.0;2.0
96;Vilnius, Žvėrynas, Paribio g.;299900;3183;94.21;4.0
97;Vilnius, Žvėrynas, Paribio g.;299900;3183;94.21;3.0
98;Vilnius, Naujininkai, Naujininkų g.;115000;2091;55.0;2.0
99;Vilnius, Pilaitė, Bitėnų g.;159000;2195;72.44;3.0
100;Vilnius, Pilaitė, Tvankstos g.;155100;3525;44.0;2.0
101;Vilnius, Baltupiai, Baltupio g.;185500;4033;46.0;2.0
102;Vilnius, Antakalnis, V. Grybo g.;215000;4541;47.35;2.0
103;Kaunas, Panemunė, Vaidoto g.;38000;1719;22.11;2.0
104;Kaunas, Panemunė, Vaidoto g.;37000;1576;23.47;1.0
105;Vilnius, Viršuliškės, Viršilų g.;202000;3961;51.0;3.0
106;Vilnius, Užupis, Filaretų g.;192502;5800;33.19;2.0
107;Alytus, Dainava, Vilties g.;57000;826;69.03;4.0
108;Telšių m., Ežero g.;69000;1895;36.41;2.0
109;Vilnius, Naujamiestis, Aguonų g.;149000;3641;40.92;2.0
110;Kaunas, Žemutiniai Kaniūkai, Raudondvario pl.;192500;2070;93.0;4.0
111;Kaunas, Žemieji Šančiai, Kranto al.;137500;2191;62.75;3.0
112;Kauno r. sav., Noreikiškių k., Kadagių g.;105000;2692;39.0;2.0
113;Kaunas, Aleksotas, K. Dulksnio g.;75000;1961;38.24;2.0
114;Kaunas, Vilijampolė, Brastos g.;389000;3687;105.51;4.0
115;Vilnius, Pašilaičiai, Laisvės pr.;288000;2382;120.93;4.0
116;Vilnius, Lazdynai, Architektų g.;125900;2518;50.0;3.0
117;Kaunas, Senamiestis, Pilies g.;499999;6250;80.0;3.0
118;Vilnius, Šnipiškės, Šatrijos g.;229000;5205;44.0;2.0
119;Vilnius, Pilaitė, Simono Grunau g.;159000;3384;46.99;2.0
120;Vilnius, Lazdynai, M. Mironaitės g.;159900;3476;46.0;2.0
121;Palanga, Palanga, Vanagupės g.;355000;6928;51.24;2.0
122;Vilnius, Senamiestis, Palangos g.;500000;3378;148.0;4.0
123;Palanga, Vanagupės g.;299000;3462;86.36;4.0
124;Vilnius, Senamiestis, J. Basanavičiaus g.;490000;3141;156.0;4.0
125;Jonavos m., Geležinkelio g.;70000;963;72.67;3.0
126;Kaunas, Žaliakalnis, Šimkaičių g.;195000;2786;70.0;3.0
127;Klaipėda, Centras, Kuosų g.;139000;2206;63.0;2.0
128;Kaunas, Žemutiniai Kaniūkai, Raudondvario pl.;135900;3315;41.0;2.0
129;Vilnius, Žirmūnai, Kareivių g.;214423;3057;70.14;4.0
130;Vilnius, Žvėrynas, A. Mickevičiaus g.;520000;6582;79.0;4.0
131;Vilnius, Viršuliškės, Viršilų g.;109999;4202;26.18;1.0
132;Vilnius, Fabijoniškės, Fabijoniškių g.;149991;3093;48.5;2.0
133;Vilnius, Žvėrynas, Vilkų g.;310000;5849;53.0;2.0
134;Vilnius, Šnipiškės, Konstitucijos pr.;335000;3350;100.0;4.0
135;Vilnius, Šnipiškės, Kalvarijų g.;179000;3972;45.07;2.0
136;Klaipėda, Paupiai, Ragainės g.;135500;3196;42.4;2.0
137;Vilnius, Žirmūnai, M. Katkaus g.;179000;3580;50.0;2.0
138;Palanga, Palanga, Vytauto g.;219000;5230;41.87;2.0
139;Vilnius, Lazdynėliai, Lazdynėlių g.;159900;2758;57.97;3.0
140;Vilnius, Šiaurės miestelis, J. Galvydžio g.;139000;2985;46.57;2.0
141;Klaipėda, Labrenciškės, Kretingos g.;177775;2090;85.06;4.0
142;Klaipėda, Paupiai, Klemiškės g.;185000;3083;60.0;3.0
143;Klaipėda, Senamiestis, J. Janonio g.;95000;2159;44.0;2.0
144;Vilnius, Šeškinė, Buivydiškių g.;108000;2476;43.61;1.0
145;Vilnius, Karoliniškės, Vytauto Vaitkaus g.;116000;3345;34.68;2.0
146;Vilnius, Naujoji Vilnia, Dūmų g.;56000;1856;30.18;2.0
147;Vilnius, Šnipiškės, Kalvarijų g.;165000;3646;45.26;2.0
148;Kaunas, Vilijampolė, Pikulo g.;88000;2453;35.87;2.0
149;Vilnius, Užupis, Krivių g.;195000;4333;45.0;2.0
150;Vilnius, Markučiai, Manufaktūrų g.;232000;4901;47.34;2.0
151;Visagino m., Sedulinos al.;46000;659;69.8;4.0
152;Kaunas, Centras, Kęstučio g.;180000;3496;51.49;2.0
153;Kaunas, Gričiupis, Pašilės g.;139900;1858;75.29;3.0
154;Vilnius, Fabijoniškės, Salomėjos Nėries g.;150000;2399;62.53;2.0
155;Klaipėda, Rumpiškės, Rumpiškės g.;65000;1711;38.0;2.0
156;Vilnius, Žvėrynas, Sakalų g.;280000;4912;57.0;3.0
157;Vilnius, Pilaitė, Tolminkiemio g.;166900;3252;51.32;2.0
